designer,page_url,year,temporada,city,tipo,url
Weekend Max Mara,"https://es.fashionnetwork.com/galeries/photos/Weekend-Max-Mara,54300.html",2024,Primavera - verano,parís,womenswear colección,"https://media.fashionnetwork.com/cdn-cgi/image/fit=cover,width=320,height=480/m/4045/82b8/b6ed/3472/1daf/d0e5/a152/2548/d6aa/3aaf/3aaf.jpg"
Weekend Max Mara,"https://es.fashionnetwork.com/galeries/photos/Weekend-Max-Mara,54300.html",2024,Primavera - verano,parís,womenswear colección,"https://media.fashionnetwork.com/cdn-cgi/image/fit=cover,width=320,height=480/m/4efa/8ef6/5d47/a22b/3517/bf70/3aa2/ad74/608b/455d/455d.jpg"
Weekend Max Mara,"https://es.fashionnetwork.com/galeries/photos/Weekend-Max-Mara,54300.html",2024,Primavera - verano,parís,womenswear colección,"https://media.fashionnetwork.com/cdn-cgi/image/fit=cover,width=320,height=480/m/85b3/5923/ab14/66e7/36b4/7652/7ec4/8577/a30c/4c1e/4c1e.jpg"
Weekend Max Mara,"https://es.fashionnetwork.com/galeries/photos/Weekend-Max-Mara,54300.html",2024,Primavera - verano,parís,womenswear colección,"https://media.fashionnetwork.com/cdn-cgi/image/fit=cover,width=320,height=480/m/cbdb/1a38/3ecd/3dc5/1c1a/4741/1663/7a03/8f8e/2401/2401.jpg"
Weekend Max Mara,"https://es.fashionnetwork.com/galeries/photos/Weekend-Max-Mara,54300.html",2024,Primavera - verano,parís,womenswear colección,"https://media.fashionnetwork.com/cdn-cgi/image/fit=cover,width=320,height=480/m/e0c0/d0c2/6c1c/d974/c7c3/0e47/5340/a9e2/6b5f/b323/b323.jpg"
Weekend Max Mara,"https://es.fashionnetwork.com/galeries/photos/Weekend-Max-Mara,54300.html",2024,Primavera - verano,parís,womenswear colección,"https://media.fashionnetwork.com/cdn-cgi/image/fit=cover,width=320,height=480/m/fa78/0049/c65c/b57e/9991/471c/f759/1e0e/9c07/5eac/5eac.jpg"
Weekend Max Mara,"https://es.fashionnetwork.com/galeries/photos/Weekend-Max-Mara,54300.html",2024,Primavera - verano,parís,womenswear colección,"https://media.fashionnetwork.com/cdn-cgi/image/fit=cover,width=320,height=480/m/4586/db2b/479c/d1b5/3a57/00d6/1d64/0e01/bb2c/4469/4469.jpg"
Weekend Max Mara,"https://es.fashionnetwork.com/galeries/photos/Weekend-Max-Mara,54300.html",2024,Primavera - verano,parís,womenswear colección,"https://media.fashionnetwork.com/cdn-cgi/image/fit=cover,width=320,height=480/m/1f9c/ba23/db21/db86/b919/94f0/1ce4/1c63/943f/98c1/98c1.jpg"
Weekend Max Mara,"https://es.fashionnetwork.com/galeries/photos/Weekend-Max-Mara,54300.html",2024,Primavera - verano,parís,womenswear colección,"https://media.fashionnetwork.com/cdn-cgi/image/fit=cover,width=320,height=480/m/0b14/43e5/18a2/f47d/8004/b98c/a185/5709/ab30/39e9/39e9.jpg"
Weekend Max Mara,"https://es.fashionnetwork.com/galeries/photos/Weekend-Max-Mara,54300.html",2024,Primavera - verano,parís,womenswear colección,"https://media.fashionnetwork.com/cdn-cgi/image/fit=cover,width=320,height=480/m/bbad/3559/d52f/a07b/ec28/99d0/811d/4113/8f3d/fd56/fd56.jpg"
Weekend Max Mara,"https://es.fashionnetwork.com/galeries/photos/Weekend-Max-Mara,54300.html",2024,Primavera - verano,parís,womenswear colección,"https://media.fashionnetwork.com/cdn-cgi/image/fit=cover,width=320,height=480/m/0d25/f337/c1e9/2ddb/73e6/3808/897c/3b2f/64e8/0e5f/0e5f.jpg"
Weekend Max Mara,"https://es.fashionnetwork.com/galeries/photos/Weekend-Max-Mara,54300.html",2024,Primavera - verano,parís,womenswear colección,"https://media.fashionnetwork.com/cdn-cgi/image/fit=cover,width=320,height=480/m/c8f3/aac7/bdb6/990d/00df/fa3f/4e01/bfda/7fc2/0a46/0a46.jpg"
Weekend Max Mara,"https://es.fashionnetwork.com/galeries/photos/Weekend-Max-Mara,54300.html",2024,Primavera - verano,parís,womenswear colección,"https://media.fashionnetwork.com/cdn-cgi/image/fit=cover,width=320,height=480/m/0f3b/d462/a553/68da/abb9/688f/ea1d/b242/85eb/f0c3/f0c3.jpg"
Weekend Max Mara,"https://es.fashionnetwork.com/galeries/photos/Weekend-Max-Mara,54300.html",2024,Primavera - verano,parís,womenswear colección,"https://media.fashionnetwork.com/cdn-cgi/image/fit=cover,width=320,height=480/m/e334/fc05/41de/9e4b/a43a/6c92/2cf0/a957/f928/b6da/b6da.jpg"
Weekend Max Mara,"https://es.fashionnetwork.com/galeries/photos/Weekend-Max-Mara,54300.html",2024,Primavera - verano,parís,womenswear colección,"https://media.fashionnetwork.com/cdn-cgi/image/fit=cover,width=320,height=480/m/4b6c/6ac3/4c4b/9111/64ad/66f4/65ca/1224/7895/caf7/caf7.jpg"
Weekend Max Mara,"https://es.fashionnetwork.com/galeries/photos/Weekend-Max-Mara,54300.html",2024,Primavera - verano,parís,womenswear colección,"https://media.fashionnetwork.com/cdn-cgi/image/fit=cover,width=320,height=480/m/84a8/7e24/526c/0fc9/403f/c9f8/acae/48a7/c143/b740/b740.jpg"
Y-3,"https://es.fashionnetwork.com/galeries/photos/Y-3,54299.html",2024,Primavera - verano,madrid,menswear colección,"https://media.fashionnetwork.com/cdn-cgi/image/fit=cover,width=320,height=480/m/c864/026a/2bb3/b254/2ca3/e884/3862/f85f/5a78/f33e/f33e.jpg"
Y-3,"https://es.fashionnetwork.com/galeries/photos/Y-3,54299.html",2024,Primavera - verano,madrid,menswear colección,"https://media.fashionnetwork.com/cdn-cgi/image/fit=cover,width=320,height=480/m/195f/dda5/95f2/2c0c/bfc8/1302/5692/7659/5b16/1ff6/1ff6.jpg"
Y-3,"https://es.fashionnetwork.com/galeries/photos/Y-3,54299.html",2024,Primavera - verano,madrid,menswear colección,"https://media.fashionnetwork.com/cdn-cgi/image/fit=cover,width=320,height=480/m/d9d1/82a4/7627/d7ae/347d/1dcf/5be9/1fff/da40/bd9e/bd9e.jpg"
Y-3,"https://es.fashionnetwork.com/galeries/photos/Y-3,54299.html",2024,Primavera - verano,madrid,menswear colección,"https://media.fashionnetwork.com/cdn-cgi/image/fit=cover,width=320,height=480/m/9035/d55e/edc0/e86f/3ea1/a636/8e67/7a30/fc3f/063b/063b.jpg"
Xuly Bet,"https://es.fashionnetwork.com/galeries/photos/Xuly-Bet,54297.html",2024,Otoño - invierno,parís,womenswear desfiles,"https://media.fashionnetwork.com/cdn-cgi/image/fit=cover,width=320,height=480/m/3cda/3d24/d415/a961/fa06/fdff/add1/e8c0/6ebe/6136/6136.jpg"
