,id_url,image_response_split
1,1,"
Descripción prenda:
 - Tipo: Vestido
 - Color: Negro
 - Material: Vinilo
 - Categoría: Alta costura
 - Diseño: Ajustado
 - Textura: Brillante
 - Estampado: Ninguno
 - Mangas: Cortas
 - Cuello: Alto
 - Escote: Ninguno
 - Largo: Mini
 - Detalles: Volantes, perlas
"
5,2,"
Descripción prenda:
 - Tipo: Chaqueta
 - Color: Rosa
 - Material: Tweed
 - Categoría: Formal
 - Diseño: Cuadros
 - Textura: Texturizado
 - Estampado: Patronado
 - Mangas: Largas
 - Cuello: Redondo
 - Escote: Cerrado
 - Largo: Cropped
 - Detalles: Lentejuelas, bordes desflecados
"
6,2,"
Descripción prenda:
 - Tipo: Falda
 - Color: Rosa
 - Material: Tweed
 - Categoría: Formal
 - Diseño: Cuadros
 - Textura: Texturizado
 - Estampado: Patronado
 - Mangas: N/A
 - Cuello: N/A
 - Escote: N/A
 - Largo: Rodilla
 - Detalles: Bordes desflecados
"
10,3,"
Descripción prenda:
 - Tipo: Vestido
 - Color: Beige
 - Material: Tela
 - Categoría: Formal
 - Diseño: Capas
 - Textura: Liso
 - Estampado: Ninguno
 - Mangas: Cortas
 - Cuello: V
 - Escote: V
 - Largo: Midi
 - Detalles: Cinturón
"
14,4,"
Descripción prenda:
 - Tipo: Vestido
 - Color: Plateado
 - Material: Lentejuelas
 - Categoría: Alta costura
 - Diseño: Ajustado
 - Textura: Brillante
 - Estampado: Ninguno
 - Mangas: Sin
 - Cuello: Ninguno
 - Escote: Recto
 - Largo: Corto
 - Detalles: Transparente, libélula
"
18,5,"
Descripción prenda:
 - Tipo: Top
 - Color: Blanco
 - Material: Desconocido
 - Categoría: Formal
 - Diseño: Plano
 - Textura: Lisa
 - Estampado: Ninguno
 - Mangas: Ninguna
 - Cuello: Ninguno
 - Escote: Recto
 - Largo: Corto
 - Detalles: Banda
"
19,5,"
Descripción prenda:
 - Tipo: Pantalón
 - Color: Blanco
 - Material: Desconocido
 - Categoría: Formal
 - Diseño: Recto
 - Textura: Lisa
 - Estampado: Ninguno
 - Mangas: Ninguno
 - Cuello: Ninguno
 - Escote: Ninguno
 - Largo: Largo
 - Detalles: Cintura alta
"
23,6,"
Descripción prenda:
- Tipo: Vestido
- Color: Multi
- Material: Desconocido
- Categoría: Alta costura
- Diseño: Gráfico
- Textura: Lisa
- Estampado: Fotográfico
- Mangas: Largas
- Cuello: Redondo
- Escote: Ninguno
- Largo: Largo
- Detalles: División central, ribete
"
27,7,"
Descripción prenda:
 - Tipo: Body 
 - Color: Negro
 - Material: Spandex
 - Categoría: Alta-costura
 - Diseño: Asimétrico
 - Textura: Lisa
 - Estampado: Ninguno
 - Mangas: Ninguna
 - Cuello: Ninguno
 - Escote: Redondo
 - Largo: Corto
 - Detalles: Rosas
"
31,8,"
Descripción prenda:
 - Tipo: Chaqueta
 - Color: Marfil
 - Material: Lana
 - Categoría: Formal
 - Diseño: Estructurado
 - Textura: Suave
 - Estampado: Ninguno
 - Mangas: Largas
 - Cuello: Alto
 - Escote: Ninguno
 - Largo: Corto
 - Detalles: Botones, bolsillos
"
37,9,"
Descripción prenda:
 - Tipo: Vestido
 - Color: Blanco
 - Material: Encaje
 - Categoría: Vestir
 - Diseño: Sastrería
 - Textura: Bordado
 - Estampado: Floral
 - Mangas: Largas
 - Cuello: Solapa
 - Escote: V
 - Largo: Corto
 - Detalles: Cinturón, transparencias
"
41,10,"
Descripción prenda:
 - Tipo: Capa
 - Color: Beige
 - Material: Desconocido
 - Categoría: Exterior
 - Diseño: Liso
 - Textura: Suave
 - Estampado: Ninguno
 - Mangas: Ninguna
 - Cuello: Alto
 - Escote: Ninguno
 - Largo: Largo
 - Detalles: Bordado, capucha, abertura frontal
"
45,11,"
Descripción prenda:
 - Tipo: Vestido
 - Color: Negro
 - Material: Lentejuelas
 - Categoría: Vestimenta
 - Diseño: Ajustado
 - Textura: Brillante
 - Estampado: Ninguno
 - Mangas: Largas
 - Cuello: Ilusión
 - Escote: Corazón
 - Largo: Midi
 - Detalles: Plumas, transparencias
"
49,12,"
Descripción prenda:
 - Tipo: Vestido
 - Color: Dorado
 - Material: Metálico
 - Categoría: Alta costura
 - Diseño: Asimétrico
 - Textura: Arrugado
 - Estampado: Ninguno
 - Mangas: Ninguna
 - Cuello: Asimétrico
 - Escote: Ninguno
 - Largo: Corto
 - Detalles: Volumen
"
53,13,"
Descripción prenda:
 - Tipo: Chaqueta
 - Color: Multicolor
 - Material: Seda
 - Categoría: Exterior
 - Diseño: Bordado
 - Textura: Suave
 - Estampado: Floral
 - Mangas: Largas
 - Cuello: Mao
 - Escote: Ninguno
 - Largo: Cropped
 - Detalles: Perlas, lentejuelas
"
54,13,"
Descripción prenda:
 - Tipo: Pantalón
 - Color: Rosado
 - Material: Seda
 - Categoría: Inferior
 - Diseño: Plisado
 - Textura: Suave
 - Estampado: Degradado
 - Mangas: N/A
 - Cuello: N/A
 - Escote: N/A
 - Largo: Largo
 - Detalles: Ninguno
"
55,13,"
Descripción prenda:
 - Tipo: Blusa
 - Color: Rosado
 - Material: Seda
 - Categoría: Interior
 - Diseño: Liso
 - Textura: Suave
 - Estampado: Ninguno
 - Mangas: Largas
 - Cuello: Alto
 - Escote: Ninguno
 - Largo: Estándar
 - Detalles: Ninguno
"
