designer,url,temporada,year
rag-bone,https://assets.vogue.com/photos/65c249a236b4e0759ccfb5f9/master/w_2560%2Cc_limit/00002-rag-and-bone-fall-2024-ready-to-wear-credit-brand.jpeg,otoño - invierno,2024
rag-bone,https://assets.vogue.com/photos/65c249a00140a4bcc056b573/master/w_2560%2Cc_limit/00003-rag-and-bone-fall-2024-ready-to-wear-credit-brand.jpeg,otoño - invierno,2024
sara-battaglia,https://assets.vogue.com/photos/65ba546a5f8958b63b8d488d/master/w_2560%2Cc_limit/00002-sara-battaglia-fall-2024-ready-to-wear-credit-brand.jpg,otoño - invierno,2024
sara-battaglia,https://assets.vogue.com/photos/65ba546a4f005afdef36c860/master/w_2560%2Cc_limit/00003-sara-battaglia-fall-2024-ready-to-wear-credit-brand.jpg,otoño - invierno,2024
moncler-grenoble,https://assets.vogue.com/photos/65bfa61ed07e7e093468e74b/master/w_2560%2Cc_limit/00002-moncler-grenoble-fall-2024-ready-to-wear-credit-brand.jpg,otoño - invierno,2024
moncler-grenoble,https://assets.vogue.com/photos/65bfa61e1cbd65155fa7a82f/master/w_2560%2Cc_limit/00003-moncler-grenoble-fall-2024-ready-to-wear-credit-brand.jpg,otoño - invierno,2024
olivia-ballard,https://assets.vogue.com/photos/65c234b57d5c040e2986a2a9/master/w_2560%2Cc_limit/00002-olivia-ballard-fall-2024-ready-to-wear-berlin-credit-james-cochrane-bfw.jpg,otoño - invierno,2024
olivia-ballard,https://assets.vogue.com/photos/65c234b644bdf11f2cefab0d/master/w_2560%2Cc_limit/00003-olivia-ballard-fall-2024-ready-to-wear-berlin-credit-james-cochrane-bfw.jpg,otoño - invierno,2024
sunflower,https://assets.vogue.com/photos/65c13c4dd5fb09e4ef8e14e2/master/w_2560%2Cc_limit/00002-sunflower-copenhagen-fall-2024-menswear-credit-brand.jpg,otoño - invierno,2024
sunflower,https://assets.vogue.com/photos/65c13c4e0039d689f44246fb/master/w_2560%2Cc_limit/00003-sunflower-copenhagen-fall-2024-menswear-credit-brand.jpg,otoño - invierno,2024
soulland,https://assets.vogue.com/photos/65c0b282f669caad9cb6bf57/master/w_2560%2Cc_limit/00002-soulland-fall-2024-ready-to-wear-copenhagen-credit-brand-sascha-oda.jpg,otoño - invierno,2024
soulland,https://assets.vogue.com/photos/65c0b2822f2f333ae6c82d7c/master/w_2560%2Cc_limit/00003-soulland-fall-2024-ready-to-wear-copenhagen-credit-brand-sascha-oda.jpg,otoño - invierno,2024
helmstedt,https://assets.vogue.com/photos/65bcbc60967ee1177b97ae19/master/w_2560%2Cc_limit/00002-helmstedt-fall-2024-ready-to-wear-copenhagen-credit-gorunway.jpg,otoño - invierno,2024
helmstedt,https://assets.vogue.com/photos/65bcbc632a8a19ba0a864826/master/w_2560%2Cc_limit/00003-helmstedt-fall-2024-ready-to-wear-copenhagen-credit-gorunway.jpg,otoño - invierno,2024
caro-editions,https://assets.vogue.com/photos/65bbbb5456497d42e12673fa/master/w_2560%2Cc_limit/00002-caro-editions-fall-2024-ready-to-wear-copenhagen-credit-nikolai-moeller.jpg,otoño - invierno,2024
caro-editions,https://assets.vogue.com/photos/65bbbb54edac314092f5878a/master/w_2560%2Cc_limit/00003-caro-editions-fall-2024-ready-to-wear-copenhagen-credit-nikolai-moeller.jpg,otoño - invierno,2024
